_url,name,birth_year,weight,height,nationality
alberto-minetti,Alberto  Minetti,1957,69.0,181,Italy
luigi-della-bianca,Luigi Della Bianca,1972,74.0,185,Italy
jannes-slendebroek,Jannes  Slendebroek,1959,70.0,185,Netherlands
primoz-cerin,Primož  Čerin,1962,61.0,178,Yugoslavia
santiago-perez,Santiago  Pérez,1977,61.0,179,Spain
francisco-leon,Francisco  León,1973,70.0,178,Spain
rein-taaramae,Rein  Taaramäe,1987,68.0,186,Estonia
anselmo-fuerte-abelenda,Anselmo  Fuerte,1962,73.0,188,Spain
sebastien-chavanel,Sébastien  Chavanel,1981,77.0,183,France
andrei-nechita,Andrei  Nechita,1988,71.0,183,Romania
tadej-pogacar,Tadej  Pogačar,1998,66.0,176,Slovenia
jay-sweet,Jay  Sweet,1975,69.0,175,Australia
nic-hamilton,Nic  Hamilton,1986,72.0,183,Canada
enrico-barbin,Enrico  Barbin,1990,60.0,166,Italy
alain-van-den-bossche,Alain Van Den Bossche,1965,64.0,181,Belgium
mario-de-sarraga,Mario de Sárraga,1980,69.0,182,Spain
hubert-arbes,Hubert  Arbès,1950,70.0,174,France
kevin-seeldraeyers,Kevin  Seeldraeyers,1986,60.0,174,Belgium
peter-van-de-knoop,Peter Van De Knoop,1957,65.0,170,Netherlands
daniele-righi,Daniele  Righi,1976,70.0,180,Italy
felix-gall,Felix  Gall,1998,66.0,180,Austria
jordi-meeus,Jordi  Meeus,1998,80.0,190,Belgium
louis-de-koning,Louis de Koning,1967,53.0,165,Netherlands
harm-ottenbros,Harm  Ottenbros,1943,78.0,192,Netherlands
stephan-joho,Stephan  Joho,1963,72.0,179,Switzerland
andre-carvalho,Andre  Carvalho,1997,66.0,181,Portugal
miroslav-uryga,Miroslav  Uryga,1962,74.0,183,Poland
luis-ricardo-mesa-saavedra,Luis Ricardo  Mesa,1973,71.0,180,Colombia
joseba-lopez-cuesta,Joseba  López,2000,66.0,182,Spain
marco-villa,Marco  Villa,1969,78.0,184,Italy
jacques-jolidon,Jacques  Jolidon,1969,74.0,182,Switzerland
dirk-wayenberg,Dirk  Wayenberg,1955,73.0,180,Belgium
emils-liepins,Emīls  Liepiņš,1992,67.0,175,Latvia
jose-salvador-sanchis,José Salvador  Sanchis,1963,59.0,170,Spain
giulio-tomi,Giulio  Tomi,1978,74.0,189,Italy
vladimir-karpets,Vladimir  Karpets,1980,79.0,190,Russia
tom-wirtgen,Tom  Wirtgen,1996,77.0,190,Luxembourg
eric-berthou,Eric  Berthou,1980,72.0,187,France
martin-emilio-rodriguez,Martín Emilio  Rodríguez,1942,70.0,178,Colombia
claudio-cerri,Claudio  Cerri,1960,60.0,181,Italy
benoit-joachim,Benoît  Joachim,1976,82.0,188,Luxembourg
salvatore-scamardella,Salvatore  Scamardella,1979,69.0,183,Italy
florian-guillou,Florian  Guillou,1982,71.0,195,France
david-munoz,David  Muñoz,1979,69.0,174,Spain
jos-de-schoenmaecker,Jos De Schoenmaecker,1947,72.0,178,Belgium
andre-dierickx,André  Dierickx,1947,74.0,180,Belgium
claude-criquielion,Claude  Criquielion,1957,74.0,175,Belgium
stef-clement,Stef  Clement,1982,66.0,181,Netherlands
gosta-pettersson,Gösta  Pettersson,1940,75.0,189,Sweden
silvano-lorenzon,Silvano  Lorenzon,1964,75.0,183,Italy
koen-beeckman,Koen  Beeckman,1973,66.0,177,Belgium
roberto-torres,Roberto  Torres,1964,60.0,171,Spain
darren-lill,Darren  Lill,1982,70.0,178,South Africa
claudio-camin,Claudio  Camin,1970,57.0,171,Italy
kurt-verleden,Kurt  Verleden,1963,67.0,179,Belgium
daniel-musiol,Daniel  Musiol,1983,70.0,182,Germany
michel-lafis,Michel  Lafis,1967,78.0,185,Sweden
hugo-page,Hugo  Page,2001,71.0,185,France
axel-mariault,Axel  Mariault,1998,58.0,169,France
maurizio-vandelli,Maurizio  Vandelli,1964,64.0,180,Italy
maciej-bodnar,Maciej  Bodnar,1985,77.0,186,Poland
yecid-sierra,Yecid Arturo  Sierra,1994,66.0,184,Colombia
edgar-humberto-ruiz,Edgar-humberto  Ruiz,1971,70.0,182,Colombia
laurens-de-vreese,Laurens De Vreese,1988,78.0,190,Belgium
harald-maier,Harald  Maier,1960,61.0,176,Austria
marco-brenner,Marco  Brenner,2002,59.0,181,Germany
tony-martin,Tony  Martin,1985,75.0,185,Germany
jakub-kaczmarek,Jakub  Kaczmarek,1993,66.0,181,Poland
filippo-zana,Filippo  Zana,1999,65.0,185,Italy
miguel-angel-pena,Miguel Ángel  Peña,1970,62.0,174,Spain
robert-alban,Robert  Alban,1952,65.0,177,France
matteo-bono,Matteo  Bono,1983,60.0,171,Italy
antonio-coll,Antonio  Coll,1959,72.0,179,Spain
manuel-mesa,José Manuel  Mesa,1944,67.0,175,Spain
igor-anton,Igor  Antón,1983,64.0,173,Spain
raymond-kreder,Raymond  Kreder,1989,70.0,177,Netherlands
pierre-gautherat,Pierre  Gautherat,2003,70.0,177,France
cees-jeurissen,Cees  Jeurissen,1976,72.0,176,Netherlands
anthony-roux,Anthony  Roux,1987,73.0,188,France
