_url,name,birth_year,weight,height,nationality
alessio-nieri,Alessio  Nieri,2001,71.0,183,Italy
grzegorz-gwiazdowski,Grzegorz  Gwiazdowski,1974,75.0,181,Poland
clement-russo,Clément  Russo,1995,73.0,187,France
arnold-jeannesson,Arnold  Jeannesson,1986,65.0,182,France
jonathan-breyne,Jonathan  Breyne,1991,83.0,186,Belgium
jose-enrique-gutierrez-cataluna,José Enrique  Gutiérrez,1974,78.0,189,Spain
nicola-boem,Nicola  Boem,1989,75.0,187,Italy
ryan-anderson,Ryan  Anderson,1987,66.0,175,Canada
christophe-stevens,Christophe  Stevens,1974,68.0,177,Belgium
andre-cardoso,André  Cardoso,1984,56.0,168,Portugal
javier-ramirez-abeja,Javier  Ramírez,1978,61.0,172,Spain
lars-petter-nordhaug,Lars Petter  Nordhaug,1984,63.0,176,Norway
kristoffer-skjerping,Kristoffer  Skjerping,1993,71.0,182,Norway
julius-thallmann,Julius  Thallmann,1960,63.0,180,Switzerland
mario-lara,Mario  Lara,1966,68.0,180,Spain
kenny-de-ketele,Kenny De Ketele,1985,66.0,178,Belgium
mindaugas-goncaras,Mindaugas  Goncaras,1975,55.0,170,Lithuania
emmanuel-morin,Emmanuel  Morin,1995,74.0,178,France
rudy-matthijs,Rudy  Matthijs,1959,74.0,185,Belgium
rick-zabel,Rick  Zabel,1993,81.0,186,Germany
martin-cotar,Martin  Cotar,1977,70.0,181,Croatia
alessandro-fancellu,Alessandro  Fancellu,2000,62.0,172,Italy
enrique-sanz,Enrique  Sanz,1989,67.0,175,Spain
aime-de-gendt,Aimé De Gendt,1994,75.0,182,Belgium
ian-mcleod,Ian  McLeod,1980,66.0,177,South Africa
vitaliy-buts,Vitaliy  Buts,1986,68.0,176,Ukraine
marcel-russenberger,Marcel  Russenberger,1958,78.0,188,Switzerland
piergiorgio-angeli,Piergiorgio  Angeli,1960,68.0,185,Italy
davide-malacarne,Davide  Malacarne,1987,63.0,171,Italy
carlo-zoni,Carlo  Zoni,1954,72.0,180,Italy
frans-melckenbeeck,Frans  Melckenbeeck,1940,80.0,191,Belgium
andrea-di-renzo,Andrea Di Renzo,1995,62.0,179,Italy
jonas-koch,Jonas  Koch,1993,75.0,187,Germany
dan-martin,Dan  Martin,1986,59.0,175,Ireland
claudio-jose-casas,Claudio José  Casas,1982,71.0,187,Spain
timothy-vangheel,Timothy  Vangheel,1986,81.0,188,Belgium
peter-winnen,Peter  Winnen,1957,60.0,170,Netherlands
piet-allegaert,Piet  Allegaert,1995,70.0,181,Belgium
marco-frapporti,Marco  Frapporti,1985,69.0,179,Italy
gabriele-colombo,Gabriele  Colombo,1972,70.0,180,Italy
kris-matthijs,Kris  Matthijs,1974,66.0,174,Belgium
stefano-cembali,Stefano  Cembali,1967,78.0,191,Italy
walter-delle-case,Walter  Delle Case,1959,69.0,175,Italy
norman-vahtra,Norman  Vahtra,1996,85.0,192,Estonia
marcus-ljungqvist,Marcus  Ljungqvist,1974,73.0,189,Sweden
domenico-gualdi,Domenico  Gualdi,1974,72.0,183,Italy
mauro-vannucchi,Mauro  Vannucchi,1948,74.0,180,Italy
iban-mayoz-echeverria,Iban  Mayoz,1981,62.0,172,Spain
jaime-vilamajo,Jaime  Vilamajo,1959,70.0,181,Spain
christophe-mengin,Christophe  Mengin,1968,68.0,173,France
lucas-persson,Lucas  Persson,1984,66.0,182,Sweden
pascal-lance,Pascal  Lance,1964,63.0,164,France
jose-maestre,José Manuel  Maestre,1976,74.0,184,Spain
eduardo-perez-landaluce,Eduardo  Pérez-Landaluce,1998,70.0,184,Spain
thomas-sprengers,Thomas  Sprengers,1990,60.0,177,Belgium
jesus-cruz-martin,Jesús Cruz  Martín,1963,76.0,186,Spain
leonardo-natale,Leonardo  Natale,1958,67.0,187,Italy
julien-belgy,Julien  Belgy,1983,68.0,175,France
martin-van-den-bossche,Martin Van Den Bossche,1941,64.0,165,Belgium
fabio-rodriguez,Fabio Hernan  Rodríguez,1966,75.0,180,Colombia
carlos-alberto-carneiro-silva,Carlos Alberto  Carneiro Silva,1970,71.0,183,Portugal
christian-seznec,Christian  Seznec,1952,75.0,183,France
filip-meirhaeghe,Filip  Meirhaeghe,1971,70.0,175,Belgium
raul-alcala,Raúl  Alcalá,1964,64.0,184,Mexico
valentin-baillifard,Valentin  Baillifard,1993,54.0,169,Switzerland
giovanni-jimenez,Giovanni  Jimenez,1942,67.0,190,Colombia
zakkari-dempster,Zak  Dempster,1987,77.0,190,Australia
ignatas-konovalovas,Ignatas  Konovalovas,1985,74.0,190,Lithuania
sean-yates,Sean  Yates,1960,74.0,185,Great Britain
michael-rogers,Michael  Rogers,1979,74.0,185,Australia
wim-prinsen,Wim  Prinsen,1945,74.0,189,Netherlands
tino-tabak,Tino  Tabak,1946,65.0,174,Netherlands
tom-leezer,Tom  Leezer,1985,76.0,185,Netherlands
arjan-jagt,Arjan  Jagt,1966,71.0,183,Netherlands
jeremy-cabot,Jérémy  Cabot,1991,76.0,192,France
candido-barbosa,Cândido  Barbosa,1974,72.0,173,Portugal
manuel-delgado,Manuel  Delgado,1965,78.0,184,Spain
ivan-ravaioli,Ivan  Ravaioli,1980,70.0,182,Italy
franco-cavallini,Franco  Cavallini,1966,72.0,172,Italy
igor-astarloa-ascasibar,Igor  Astarloa,1976,61.0,176,Spain
vinko-poloncic,Vinko  Polončič,1957,72.0,175,Slovenia
sebastien-reichenbach,Sébastien  Reichenbach,1989,64.0,178,Switzerland
juan-javier-estrada-ruiz,Juan Javier  Estrada,1981,70.0,180,Spain
craig-lewis,Craig  Lewis,1985,65.0,178,United States
niels-van-der-steen,Niels van der Steen,1972,70.0,185,Netherlands
laurent-dufaux,Laurent  Dufaux,1969,60.0,169,Switzerland
mikel-nieve,Mikel  Nieve,1984,62.0,173,Spain
marco-antonio-leon,Marco Antonio  León,1962,67.0,181,Colombia
serafin-martinez,Serafín  Martínez,1984,74.0,186,Spain
jonathan-castroviejo,Jonathan  Castroviejo,1987,62.0,171,Spain
peter-verbeken,Peter  Verbeken,1966,71.0,178,Belgium
awet-gebremedhin-andemeskel,Awet  Gebremedhin,1992,58.5,176,Sweden
hans-kindberg,Hans  Kindberg,1967,74.0,174,Sweden
jonas-ljungblad,Jonas  Ljungblad,1979,70.0,177,Sweden
jeremie-galland,Jérémie  Galland,1983,62.0,174,France
david-de-la-cruz,David de la Cruz,1989,66.0,182,Spain
zoran-klemencic,Zoran  Klemenčič,1976,69.0,182,Slovenia
giuliano-figueras,Giuliano  Figueras,1976,70.0,186,Italy
jurgen-roelandts,Jürgen  Roelandts,1985,78.0,184,Belgium
luc-desmet,Luc  Desmet,1957,70.0,183,Belgium
anthony-morin,Anthony  Morin,1974,79.0,189,France
allan-peiper,Allan  Peiper,1960,70.0,183,Australia
jorgen-vagn-pedersen,Jørgen Vagn  Pedersen,1959,59.0,170,Denmark
philippe-lauraire,Philippe  Lauraire,1961,58.0,169,France
fabio-felline,Fabio  Felline,1990,68.0,175,Italy
luciano-borgognoni,Luciano  Borgognoni,1951,74.0,186,Italy
michael-rich,Michael  Rich,1969,82.0,187,Germany
uwe-ampler,Uwe  Ampler,1964,73.0,180,Germany
eddy-torrekens,Eddy  Torrekens,1970,62.0,172,Belgium
aitor-hernandez-gutierrez,Aitor  Hernández,1982,64.0,181,Spain
kim-andersen,Kim  Andersen,1958,70.0,183,Denmark
soren-lilholt,Søren  Lilholt,1965,72.0,182,Denmark
benjamin-carvalho,Benjamin  Carvalho,1963,64.0,176,Portugal
jonathan-fumeaux,Jonathan  Fumeaux,1988,61.0,178,Switzerland
ronan-mclaughlin,Ronan  Mclaughlin,1987,65.0,180,Ireland
eric-boyer,Éric  Boyer,1963,69.0,180,France
inaki-ayarzaguena-urkidi,Iñaki  Ayarzaguena,1969,74.0,181,Spain
stefano-verziagi,Stefano  Verziagi,1972,61.0,173,Italy
jan-janssen,Jan  Janssen,1940,76.0,174,Netherlands
sergio-santimaria,Sergio  Santimaria,1957,78.0,185,Italy
kurt-hovelijnck,Kurt  Hovelijnck,1981,75.0,185,Belgium
giovanni-lombardi,Giovanni  Lombardi,1969,73.0,178,Italy
maxime-bouet,Maxime  Bouet,1986,67.0,183,France
jose-julian-balaguer,José-julian  Balaguer,1963,66.0,177,Spain
christian-kux,Christian  Kux,1985,74.0,182,Germany
aaron-gate,Aaron  Gate,1990,71.0,181,New Zealand
matthe-pronk,Matthé  Pronk,1974,73.0,175,Netherlands
vincent-jerome,Vincent  Jérôme,1984,65.0,174,France
christophe-detilloux,Christophe  Detilloux,1974,62.0,170,Belgium
johann-tschopp,Johann  Tschopp,1982,62.0,175,Switzerland
michael-friedman,Michael  Friedman,1982,82.0,175,United States
raimundo-vairetti,Raimondo  Vairetti,1965,61.0,174,Italy
marco-corti,Marco  Corti,1986,59.0,171,Italy
eufronio-enrique-sahagun,Eufrenio Enrique  Sahagún,1943,65.0,185,Spain
jose-ignacio-moratinos,José Ignacio  Moratinos,1963,65.0,178,Spain
didier-garcia,Didier  Garcia,1964,67.0,175,France
jaco-venter,Jaco  Venter,1987,70.0,190,South Africa
samuel-plouhinec,Samuel  Plouhinec,1976,63.0,175,France
jacques-osmont,Jacques  Osmont,1954,65.0,174,France
mehdi-sohrabi,Mehdi  Sohrabi,1981,69.0,170,Iran
carmelo-barone,Carmelo  Barone,1956,76.0,187,Italy
jean-francois-rodriguez,Jean-François  Rodriguez,1957,60.0,176,France
paul-sherwen,Paul  Sherwen,1956,72.0,182,Great Britain
loic-chetout,Loïc  Chetout,1992,70.0,178,France
demetrio-cuspoca,Demetrio  Cuspoca,1963,70.0,184,Colombia
lewis-askey,Lewis  Askey,2001,75.0,187,Great Britain
oliver-naesen,Oliver  Naesen,1990,74.0,184,Belgium
garry-clively,Garry  Clively,1955,70.0,183,Australia
francisco-javier-quevedo,Francisco Javier  Quevedo,1964,68.0,185,Spain
sam-brand,Sam  Brand,1991,76.0,186,Great Britain
jesus-del-nero,Jesús  del Nero,1982,73.0,180,Spain
sergio-pardilla,Sergio  Pardilla,1984,65.0,170,Spain
patrick-evenepoel,Patrick  Evenepoel,1968,67.0,175,Belgium
jose-humberto-rujano,José Humberto  Rujano,1982,57.0,162,Venezuela
patrick-konrad,Patrick  Konrad,1991,64.0,181,Austria
crescenzo-d-amore,Crescenzo  D'Amore,1979,74.0,184,Italy
vincenzo-cupperi,Vincenzo  Cupperi,1961,63.0,176,Italy
alexandre-botcharov,Alexandre  Botcharov,1975,54.0,164,Russia
mauro-facci,Mauro  Facci,1982,68.0,182,Italy
ole-sigurd-simensen,Ole Sigurd  Simensen,1972,64.0,181,Norway
johan-price-pejtersen,Johan  Price-Pejtersen,1999,77.0,196,Denmark
joaquin-lopez-torella,Joaquin  López,1976,73.0,183,Spain
alessandro-santaromita,Alessandro  Santaromita,1999,71.0,183,Italy
pavel-brutt,Pavel  Brutt,1982,70.0,178,Russia
mikel-aristi,Mikel  Aristi,1993,72.0,180,Spain
adrien-petit,Adrien  Petit,1990,80.0,188,France
lorenzo-milesi,Lorenzo  Milesi,2002,70.0,180,Italy
philippe-chevallier,Philippe  Chevallier,1961,69.0,183,France
pablo-rincon-murcia,Pablo  Rincon,1964,62.0,172,Colombia
serge-lapebie,Serge  Lapebie,1948,68.0,174,France
enric-mas,Enric  Mas,1995,61.0,177,Spain
kobe-goossens,Kobe  Goossens,1996,64.0,178,Belgium
koen-de-kort,Koen de Kort,1982,69.0,179,Netherlands
dmitriy-gruzdev,Dmitriy  Gruzdev,1986,78.0,186,Kazakhstan
juan-ramirez,Juan Diego  Ramirez,1971,59.0,174,Colombia
tiesj-benoot,Tiesj  Benoot,1994,72.0,190,Belgium
daniel-felipe-martinez,Daniel Felipe  Martínez,1996,63.0,172,Colombia
joel-pelier,Joël  Pelier,1962,61.0,175,France
santiago-crespo,Santiago  Crespo,1970,67.0,169,Spain
vincenzo-albanese,Vincenzo  Albanese,1996,70.0,175,Italy
ad-van-peer,Ad Van Peer,1955,70.0,180,Netherlands
jose-manuel-diaz-gallego,José Manuel  Díaz,1995,64.0,177,Spain
samuele-battistella,Samuele  Battistella,1998,67.0,180,Italy
berden-de-vries,Berden de Vries,1989,70.0,186,Netherlands
steven-cozza,Steven  Cozza,1985,70.0,180,United States
chris-harper,Chris  Harper,1994,67.0,185,Australia
alessandro-giannelli,Alessandro  Giannelli,1963,68.0,175,Italy
dario-rando,Dario  Rando,1966,67.0,187,Italy
miguel-angel-lopez,Miguel Ángel  López,1994,59.0,164,Colombia
jaak-clauwaert,Jaak  Clauwaert,1947,72.0,180,Belgium
gianluca-rigamonti,Gianluca  Rigamonti,1967,70.0,184,Italy
juan-alberto,Juan Alberto  Reig,1960,64.0,180,Spain
cristiano-mancini,Cristiano  Mancini,1974,66.0,167,Italy
leon-giner,Leon  Giner,1969,65.0,182,Spain
glenn-d-hollander,Glenn  D'Hollander,1974,74.0,183,Belgium
kris-boeckmans,Kris  Boeckmans,1987,76.0,180,Belgium
per-pedersen,Per  Pedersen,1964,69.0,185,Denmark
fabrizio-arzilli,Fabrizio  Arzilli,1972,62.0,181,Italy
henk-boeve,Henk  Boeve,1957,64.0,180,Netherlands
roberto-gusmeroli,Roberto  Gusmeroli,1966,67.0,184,Italy
jose-florencio,José  Florencio,1943,62.0,169,Spain
etienne-sonck,Etienne  Sonck,1946,73.0,180,Belgium
bert-roesems,Bert  Roesems,1972,81.0,196,Belgium
eric-louvel,Eric  Louvel,1962,61.0,172,France
denis-zanette,Denis  Zanette,1970,82.0,190,Italy
mikel-landa,Mikel  Landa,1989,61.0,172,Spain
stefano-garzelli,Stefano  Garzelli,1973,62.0,175,Italy
steve-larsen,Steve  Larsen,1970,65.0,179,United States
claude-magni,Claude  Magni,1950,70.0,182,France
alberto-gallego,Alberto  Gallego,1990,62.0,177,Spain
jean-jourden,Jean  Jourden,1942,67.0,179,France
david-gutierrez-gutierrez,David  Gutiérrez Gutiérrez,1982,60.0,164,Spain
maxim-iglinskiy,Maxim  Iglinskiy,1981,67.0,171,Kazakhstan
chris-jones,Chris  Jones,1979,64.0,180,United States
giuseppe-petito,Giuseppe  Petito,1960,68.0,186,Italy
cayetano-jose-sarmiento,Cayetano José  Sarmiento,1987,58.0,168,Colombia
soren-petersen,Søren  Petersen,1967,68.0,178,Denmark
leonardo-piepoli,Leonardo  Piepoli,1971,54.0,169,Italy
rogelio-arango,Rogelio  Arango,1959,65.0,175,Colombia
wouter-weylandt,Wouter  Weylandt,1984,72.0,184,Belgium
kees-hopmans,Kees  Hopmans,1964,67.0,177,Netherlands
jochen-summer,Jochen  Summer,1977,71.0,178,Austria
thomas-fothen,Thomas  Fothen,1983,71.0,179,Germany
jussi-veikkanen,Jussi  Veikkanen,1981,66.0,178,Finland
rudy-porter,Rudy  Porter,2000,66.0,179,Australia
jimmi-madsen,Jimmi  Madsen,1969,75.0,183,Denmark
jesus-ignacio-alonso,Jésus-ignacio  Alonso,1961,74.0,185,Spain
philipp-ludescher,Philipp  Ludescher,1987,72.0,187,Austria
massimo-cigana,Massimo  Cigana,1974,74.0,182,Italy
jose-antonio-davoz,Jose Antonio  Davoz,1965,79.0,188,Spain
oleg-kozlitine,Oleg  Kozlitine,1969,69.0,181,Kazakhstan
daniele-contrini,Daniele  Contrini,1974,58.0,169,Italy
alessandro-fantini-1,Alessandro  Fantini,1985,68.0,183,Italy
krists-neilands,Krists  Neilands,1994,69.0,189,Latvia
johan-pauwels,Johan  Pauwels,1964,56.0,174,Belgium
arnaldo-caverzasi,Arnaldo  Caverzasi,1948,65.0,179,Italy
damien-howson,Damien  Howson,1992,68.0,188,Australia
raphael-van-bruaene,Raphael Van Bruaene,1946,60.0,174,Belgium
alessio-di-basco,Alessio Di Basco,1964,58.5,176,Italy
julien-vermote,Julien  Vermote,1989,74.0,179,Belgium
stephane-guay,Stéphane  Guay,1961,70.0,180,France
nicolas-rousseau,Nicolas  Rousseau,1983,70.0,176,France
ivan-quaranta,Ivan  Quaranta,1974,63.5,174,Italy
jarlinson-pantano,Jarlinson  Pantano,1988,61.0,173,Colombia
marcel-meisen,Marcel  Meisen,1989,62.0,172,Germany
kurt-huygens,Kurt  Huygens,1968,68.0,178,Belgium
luca-raggio,Luca  Raggio,1995,70.0,184,Italy
alan-lezaun-perez,Alan  Pérez,1982,66.0,175,Spain
bruno-thibout,Bruno  Thibout,1969,72.0,185,France
serge-pauwels,Serge  Pauwels,1983,65.0,177,Belgium
rodolfo-andres-torres,Rodolfo Andrés  Torres,1987,56.0,169,Colombia
dario-nicoletti,Dario  Nicoletti,1967,73.0,195,Italy
stephane-petilleau,Stéphane  Petilleau,1971,73.0,188,France
werner-wuller,Werner  Wuller,1961,75.0,179,Germany
vincenzo-galati,Vincenzo  Galati,1969,72.0,179,Italy
roberto-ferrari,Roberto  Ferrari,1983,73.0,173,Italy
luis-ocana,Luis  Ocaña,1945,68.0,178,Spain
serge-parsani,Serge  Parsani,1952,75.0,187,Italy
hermann-pernsteiner,Hermann  Pernsteiner,1990,55.0,168,Austria
kevyn-ista,Kevyn  Ista,1984,70.0,183,Belgium
dominique-garde,Dominique  Garde,1959,68.0,180,France
tanel-kangert,Tanel  Kangert,1987,65.0,178,Estonia
jose-antonio-redondo-ramos,José Antonio  Redondo,1985,68.0,184,Spain
matthieu-ladagnous,Matthieu  Ladagnous,1984,73.0,182,France
nicolas-liboreau,Nicolas  Liboreau,1977,71.0,183,France
michael-kolar,Michael  Kolář,1992,64.0,185,Slovakia
gianluca-pianegonda,Gianluca  Pianegonda,1968,74.0,186,Italy
marco-lietti,Marco  Lietti,1965,71.0,181,Italy
marijn-van-den-berg,Marijn van den Berg,1999,73.0,182,Netherlands
carlos-alberto-maya-lizcano,Carlos Alberto  Maya,1972,58.0,171,Venezuela
tosh-van-der-sande,Tosh Van der Sande,1990,67.0,178,Belgium
mauricio-alberto-ardila,Mauricio Alberto  Ardila,1979,58.0,165,Colombia
fabian-wegmann,Fabian  Wegmann,1980,60.0,176,Germany
sergei-uslamin,Sergei  Uslamin,1963,63.0,175,Russia
nicola-gavazzi,Nicola  Gavazzi,1978,80.0,186,Italy
rudy-verdonck,Rudy  Verdonck,1965,60.0,167,Belgium
adria-moreno,Adrià  Moreno,1991,59.0,176,Spain
jan-siemons,Jan  Siemons,1964,77.0,180,Netherlands
tommy-prim,Tommy  Prim,1955,76.0,185,Sweden
giuseppe-beghetto,Giuseppe  Beghetto,1939,71.0,178,Italy
mehdi-benhamouda,Mehdi  Benhamouda,1995,64.0,173,France
frank-van-den-abeele,Frank Van den Abeele,1966,55.0,164,Belgium
daniel-navarro,Daniel  Navarro,1983,60.0,174,Spain
joop-zoetemelk,Joop  Zoetemelk,1946,68.0,173,Netherlands
simone-masciarelli,Simone  Masciarelli,1980,63.0,175,Italy
frederic-finot,Frédéric  Finot,1977,65.0,177,France
jose-luis-rubiera,José Luis  Rubiera,1973,69.0,180,Spain
quentin-pacher,Quentin  Pacher,1992,62.0,179,France
laurent-gervais,Laurent  Gervais,1997,72.0,180,Canada
robert-forest,Robert  Forest,1961,75.0,176,France
mirco-maestri,Mirco  Maestri,1991,73.0,185,Italy
jose-carlos-silva-rodrigues,José Carlos Silva  Rodrigues,1978,66.0,178,Portugal
alexis-rodriguez,Alexis  Rodríguez,1977,69.0,174,Spain
roberto-antonelli,Roberto  Antonelli,1963,72.0,181,Italy
jaan-kirsipuu,Jaan  Kirsipuu,1969,80.0,179,Estonia
jaime-roson,Jaime  Rosón,1993,62.0,179,Spain
matteo-badilatti,Matteo  Badilatti,1992,62.0,178,Switzerland
christian-charriere,Christian  Charriere,1975,65.0,174,Switzerland
wilmo-francioni,Wilmo  Francioni,1948,55.0,164,Italy
chris-carmichael,Chris  Carmichael,1961,63.0,171,United States
carlos-osorio,Carlos Andres  Osorio,1974,75.0,192,Colombia
john-edibberto-martinez,John Edibberto  Martinez,1983,70.0,183,Colombia
eloy-santamarta,Eloy  Santamarta,1970,68.0,181,Spain
kristof-vandewalle,Kristof  Vandewalle,1985,74.0,180,Belgium
ben-janbroers,Ben  Janbroers,1948,70.0,185,Netherlands
goncalo-carvalho,Gonçalo  Carvalho,1997,60.0,172,Portugal
rene-stadelmann,René  Stadelmann,1974,60.0,175,Switzerland
john-archibald,John  Archibald,1990,79.0,189,Great Britain
vladimir-muravski,Uladzimir  Murauski,1959,63.0,165,Belarus
guy-niv,Guy  Niv,1994,58.0,168,Israel
rini-wagtmans,Rini  Wagtmans,1946,73.0,181,Netherlands
javier-chacon-quesada,Javier  Chacón,1985,70.0,185,Spain
john-degenkolb,John  Degenkolb,1989,82.0,180,Germany
jose-inguanzo,José Luis  Rodriguez,1957,70.0,181,Spain
adri-van-houwelingen,Adri van Houwelingen,1953,62.0,169,Netherlands
dietmar-hauer,Dietmar  Hauer,1968,70.0,184,Austria
gino-primo,Gino  Primo,1966,69.0,183,Belgium
julio-cesar-rangel,Julio César  Rangel,1968,67.0,180,Colombia
francis-castaing,Francis  Castaing,1959,70.0,180,France
rafael-garcia,José Rafael  García,1961,66.0,181,Spain
miguel-minguez,Miguel  Mínguez,1988,59.0,177,Spain
alexandre-shefer,Alexandre  Shefer,1971,68.0,176,Kazakhstan
johnny-vanderveken,Johnny  Vanderveken,1954,60.0,168,Belgium
mirko-celestino,Mirko  Celestino,1974,67.0,173,Italy
salvatore-cavallaro,Salvatore  Cavallaro,1962,72.0,175,Italy
hayden-roulston,Hayden  Roulston,1981,81.0,186,New Zealand
luigino-moro,Luigino  Moro,1956,59.0,180,Italy
pasquale-muto,Pasquale  Muto,1980,60.0,174,Italy
taj-jones,Taj  Jones,2000,82.0,191,Australia
albert-hitchen,Albert  Hitchen,1938,73.0,180,Great Britain
maxime-cam,Maxime  Cam,1992,61.0,169,France
miguel-sanabria,Miguel Ángel  Sanabria,1967,58.0,169,Colombia
alejandro-ropero,Alejandro  Ropero,1998,61.0,171,Spain
vicente-hernaiz,Vicente  Hernaiz,1998,68.0,183,Spain
saulius-sarkauskas,Saulius  Sarkauskas,1970,74.0,180,Lithuania
enrico-grigoli,Enrico  Grigoli,1978,69.0,180,Italy
danny-jonasson,Danny  Jonasson,1974,70.0,183,Denmark
julian-david-arredondo,Julián David  Arredondo,1988,58.0,164,Colombia
matthew-walls,Matthew  Walls,1998,72.0,177,Great Britain
henry-rinklin,Henry  Rinklin,1957,70.0,184,Germany
vasily-zhdanov,Vasily  Zhdanov,1963,77.0,182,Ukraine
kim-borry,Kim  Borry,1985,83.0,190,Belgium
jose-martins,José Freitas  Martins,1951,66.0,178,Portugal
alexandre-balmer,Alexandre  Balmer,2000,70.0,191,Switzerland
luca-braidot,Luca  Braidot,1991,69.0,179,Italy
stephane-bonsergent,Stéphane  Bonsergent,1977,66.0,174,France
bo-hamburger,Bo  Hamburger,1970,58.0,174,Denmark
raimond-kunzli,Raimond  Künzli,1984,63.0,183,Switzerland
giuseppe-citterio,Giuseppe  Citterio,1967,60.0,176,Italy
sebastian-langeveld,Sebastian  Langeveld,1985,67.0,178,Netherlands
jerome-delbove,Jérôme  Delbove,1974,70.0,185,France
alexander-cataford,Alexander  Cataford,1993,70.0,183,Canada
joseph-abelshausen,Joseph  Abelshausen,1949,67.0,185,Belgium
peter-stetina,Peter  Stetina,1987,63.0,180,United States
arnaud-courteille,Arnaud  Courteille,1989,62.0,176,France
pierrick-naud,Pierrick  Naud,1991,67.0,176,Canada
hans-junkermann,Hans  Junkermann,1934,62.0,178,Germany
abelardo-rios,Abelardo Antonio  Ríos,1952,63.0,178,Colombia
gene-michael-bates,Gene  Bates,1981,61.0,169,Australia
juan-carlos-guillamon-ruiz,Juan Carlos  Guillamón,1974,62.0,174,Spain
joey-mcloughlin,Joey  McLoughlin,1964,65.0,174,Great Britain
phil-edwards,Phil  Edwards,1949,80.0,184,Great Britain
michel-perin,Michel  Perin,1947,63.0,176,France
antony-doyle,Tony  Doyle,1958,70.0,181,Great Britain
kjell-nilsson,Kjell  Nilsson,1962,66.0,184,Sweden
daniel-paradis,Daniel  Paradis,1970,71.0,182,Switzerland
ottavio-crepaldi,Ottavio  Crepaldi,1945,70.0,180,Italy
andreas-kappes,Andreas  Kappes,1965,70.0,180,Germany
josep-jufre,Josep  Jufré,1975,65.0,178,Spain
andreas-klier,Andreas  Klier,1976,72.0,181,Germany
francois-simon,François  Simon,1968,70.0,179,France
jan-nevens,Jan  Nevens,1958,58.0,172,Belgium
tom-stubbe,Tom  Stubbe,1981,66.0,177,Belgium
luc-govaerts,Luc  Govaerts,1959,65.0,180,Belgium
emanuele-lupi,Emanuele  Lupi,1969,70.0,178,Italy
pim-ligthart,Pim  Ligthart,1988,72.0,181,Netherlands
raymond-riotte,Raymond  Riotte,1940,62.0,172,France
jose-barros,Jose  Barros,1971,67.0,187,Portugal
nicola-ruffoni,Nicola  Ruffoni,1990,70.0,173,Italy
edward-theuns,Edward  Theuns,1991,72.0,183,Belgium
nidi-den-hertog,Nidi den Hertog,1951,68.0,177,Netherlands
enrico-gasparotto,Enrico  Gasparotto,1982,65.0,174,Switzerland
omer-goldstein,Omer  Goldstein,1996,61.0,174,Israel
dennis-vanendert,Dennis  Vanendert,1988,64.0,181,Belgium
juan-llaneras-rossello,Juan  Llaneras,1969,65.0,180,Spain
matteo-pelucchi,Matteo  Pelucchi,1989,74.0,182,Italy
robert-bartko,Robert  Bartko,1975,78.0,186,Germany
bjorn-schroder,Björn  Schröder,1980,64.0,177,Germany
manuel-zeferino,Manuel  Zeferino,1960,64.0,174,Portugal
michael-hepburn,Michael  Hepburn,1991,77.0,186,Australia
jimmy-casper,Jimmy  Casper,1978,69.0,175,France
sean-kelly,Sean  Kelly,1956,77.0,180,Ireland
sep-vanmarcke,Sep  Vanmarcke,1988,77.0,190,Belgium
ioannis-tamouridis,Ioannis  Tamouridis,1980,70.0,180,Greece
mika-heming,Mika  Heming,2000,68.0,184,Germany
vicente-aparicio,Vicente  Aparicio,1969,71.0,178,Spain
iker-camano,Iker  Camaño,1979,68.0,184,Spain
ronny-scholz,Ronny  Scholz,1978,60.0,176,Germany
andrea-paluan,Andrea  Paluan,1966,67.0,175,Italy
anthony-langella,Anthony  Langella,1974,76.0,188,France
chris-lillywhite,Chris  Lillywhite,1966,67.0,177,Great Britain
ivan-savitskiy,Ivan  Savitskiy,1992,72.0,182,Russia
francisco-mancebo,Francisco  Mancebo,1976,64.0,175,Spain
freddy-decloedt,Freddy  Decloedt,1944,72.0,181,Belgium
jorgen-bo-petersen,Jørgen Bo  Petersen,1970,71.0,195,Denmark
mirco-lorenzetto,Mirco  Lorenzetto,1981,71.0,175,Italy
thomas-liese,Thomas  Liese,1968,75.0,180,Germany
pablo-torres,Pablo  Torres,1987,63.5,174,Spain
tejay-van-garderen,Tejay van Garderen,1988,72.0,186,United States
paul-haghedooren,Paul  Haghedooren,1959,68.0,185,Belgium
charly-grosskost,Charly  Grosskost,1944,62.0,170,France
romain-gregoire1,Romain  Grégoire,2003,64.0,176,France
jimmy-duquennoy,Jimmy  Duquennoy,1995,75.0,179,Belgium
maurizio-tomi,Maurizio  Tomi,1968,68.0,178,Italy
jasper-stuyven,Jasper  Stuyven,1992,78.0,187,Belgium
sean-bennett,Sean  Bennett,1996,66.0,178,United States
marek-rutkiewicz,Marek  Rutkiewicz,1981,66.0,182,Poland
sergey-firsanov,Sergey  Firsanov,1982,58.0,172,Russia
rui-miguel-sousa-barbosa,Rui  Sousa,1976,59.0,171,Portugal
scott-stewart,Scott  Stewart,1987,80.0,184,United States
gustavo-rodriguez-iglesias,Gustavo  Rodríguez,1979,80.0,186,Spain
jose-luis-faura-asensio,Jose Luis  Faura,2000,73.0,188,Spain
xandres-vervloesem,Xandres  Vervloesem,2000,65.0,185,Belgium
